,years_exp
4909,0
1522,6
4291,2
1417,6
2742,2
2860,4
6238,0
370,12
4095,2
876,3
5062,1
2800,0
5471,1
4135,2
4638,2
5020,1
1575,6
3950,3
2880,4
5502,1
5730,1
2850,4
4027,0
1724,6
332,10
6353,0
5273,1
4823,2
1598,3
149,8
4731,2
1311,7
5980,0
5161,1
5107,1
480,10
2399,4
4342,2
5233,1
2950,2
5419,1
5187,1
6363,0
586,4
3639,3
5798,1
1171,7
5762,1
5748,1
1729,7
2006,5
1391,3
758,15
2733,0
3680,3
6318,0
6321,0
5268,1
5795,1
4433,2
1281,1
4787,2
6235,0
1001,5
1257,7
5881,0
3647,0
2212,5
4285,2
6588,0
4526,2
6554,0
2079,5
1986,5
2897,1
1338,6
5856,0
2074,5
5868,0
6460,0
834,5
3725,0
4234,2
176,11
1510,6
4581,2
6170,0
2974,0
5607,1
6662,0
3658,3
2247,5
3942,0
725,6
3058,0
6604,0
3422,3
5905,0
4141,2
3550,3
2152,5
4615,2
2996,0
407,10
1722,7
6483,0
980,8
4004,2
3153,
12,12
3182,3
309,11
2488,1
815,8
5014,1
5112,1
4959,1
5416,1
6454,0
2915,
2576,0
4125,2
5033,1
2832,1
3997,0
42,13
2720,4
4122,2
3207,3
3971,0
194,14
2338,4
3117,0
36,17
1702,6
775,11
5265,1
16,6
5965,0
800,8
3275,3
963,8
497,11
6313,0
4960,1
4286,2
2478,3
4,14
6247,0
5740,0
6316,0
2735,4
4368,2
2773,2
2661,1
4563,2
3549,0
5378,1
3968,0
6029,0
3995,0
5850,0
2295,2
2196,5
2464,2
5026,1
752,6
4663,2
6252,0
1479,6
3768,3
1541,6
6240,0
3660,3
1616,6
1291,7
3428,3
1704,4
4604,2
3345,3
4189,2
2362,4
3016,4
621,9
2663,0
4541,2
4636,2
1268,7
4573,2
2164,5
3919,0
384,8
2857,0
5070,1
4256,2
1602,3
6678,0
6573,0
966,5
444,10
5181,1
5652,1
3244,3
323,11
6409,0
5105,0
186,12
5490,0
106,8
1036,2
5375,1
1902,5
3331,3
778,4
3119,0
5127,1
3822,0
5167,1
4968,1
822,5
3452,0
6174,0
3937,1
4445,2
816,6
6744,2
3297,3
5764,1
1568,6
5487,1
3525,3
5386,1
3545,3
289,18
5413,1
322,16
5192,1
1483,4
3386,3
2698,1
5228,1
1979,5
513,6
2409,2
6165,0
5779,1
6539,0
3217,3
3780,3
3733,3
81,12
209,12
26,10
3776,3
3518,3
5689,1
242,13
5100,1
1834,5
1039,7
2545,4
5477,1
4858,0
4454,2
1421,6
5659,1
2621,4
5865,0
713,9
4539,2
4549,2
4041,0
5542,1
3584,3
1869,1
5206,1
1300,4
2920,0
2623,4
5628,1
391,10
2842,0
6426,0
4985,1
4049,2
271,13
3726,0
4459,2
3032,
151,7
2861,4
3049,2
2550,4
5780,1
3092,0
4584,2
5520,1
2708,4
3656,0
339,8
5247,1
3657,3
3508,3
2722,1
3108,4
3469,3
656,13
5289,1
2420,4
4708,2
5755,0
2133,5
254,12
3380,3
1081,5
280,12
360,10
2758,4
4627,2
2459,4
2298,1
2812,0
6145,0
2069,5
6671,0
1932,5
481,10
556,9
4680,2
3936,0
1315,4
546,9
2433,4
165,3
2203,3
3704,0
1185,7
3676,3
956,8
2970,1
171,8
1961,5
1502,6
1916,5
3074,4
3880,3
4901,0
2791,0
5075,1
4682,2
5569,1
820,5
3926,0
107,13
2081,1
6021,0
2678,0
4717,2
2641,0
968,5
5539,1
6411,0
1777,6
5172,1
772,10
6342,0
1817,5
2137,5
3913,0
1134,7
5504,1
2980,4
4856,0
3138,
3807,0
2903,0
893,8
2046,3
3036,4
5650,1
2530,1
1651,1
2566,2
1284,7
5016,1
282,12
6131,0
4896,0
2719,4
387,6
582,9
4824,0
3592,3
2962,0
2754,0
6101,0
5597,1
750,11
358,10
191,11
3661,1
2609,1
5962,0
6219,0
5463,1
1936,5
1700,6
1855,3
5121,1
2809,1
6729,0
2559,4
6516,0
LAR,
3710,3
3951,0
1978,5
5989,0
1571,3
2633,4
4329,0
5257,1
3242,3
5727,1
979,8
2051,5
5717,1
390,9
4133,2
5254,1
4323,2
2771,0
1309,3
200,13
4745,2
2455,4
266,11
6308,0
1588,3
2343,4
2627,4
4557,2
3266,3
4982,1
6708,0
5475,1
3685,3
1264,7
3143,0
843,8
794,8
