,years_exp
6012,0
101,8
1091,3
315,6
1030,4
5341,1
5950,0
4121,2
1448,6
5978,0
5623,1
383,10
1560,6
3760,3
1314,1
4741,2
2321,4
3608,3
1226,4
2586,2
6245,0
6613,0
6523,0
6372,0
6155,0
1474,6
5275,1
3864,3
1304,2
1463,6
2451,4
4809,2
2461,2
2710,0
1235,3
614,9
6032,0
1189,4
5461,1
4430,2
5954,0
3265,3
2474,4
4137,2
5974,0
2414,4
1449,6
2905,0
3824,3
2150,0
559,4
2741,4
38,13
4751,2
5217,1
1674,6
6309,0
3830,0
1710,2
5921,0
6044,0
3481,3
1576,6
1696,6
1987,5
3633,3
1766,0
5751,1
4228,2
2367,4
3977,0
2704,4
4317,2
4662,1
1658,6
835,8
4773,2
2213,1
4029,2
5179,1
2216,5
3402,0
5694,1
3352,3
1278,7
6043,0
201,10
5083,1
6226,0
5898,0
2658,0
2510,4
743,11
4094,2
1018,4
5892,0
1142,3
1921,5
2512,4
1209,7
127,17
1721,7
1482,6
3002,1
6251,0
1076,7
5442,1
6545,0
3394,3
1558,6
168,14
4876,1
5861,0
3840,3
731,9
5343,1
4564,2
1521,6
4953,0
473,13
6626,0
4933,1
414,10
5385,1
6018,0
5971,0
4065,2
2102,5
5784,1
3125,
548,9
6629,0
2851,4
3024,1
2844,2
4723,2
4224,2
6457,0
3731,3
930,5
3748,3
3811,0
6468,0
2572,4
1802,5
6458,0
1124,7
756,4
5462,1
3376,3
3346,3
4447,2
91,16
3888,3
5388,1
3770,0
4545,2
3333,3
2718,0
223,15
889,4
2786,1
812,8
1467,6
5987,0
1244,7
4719,2
5470,1
2873,0
6335,0
4678,2
226,9
1851,5
5207,1
457,11
2499,4
6531,0
5304,1
1562,6
1276,2
2467,4
578,9
2470,4
2768,0
2073,5
6115,0
984,3
1333,6
5667,1
5128,1
6642,0
1793,5
5134,1
1600,1
6224,0
4377,2
5991,0
3916,3
509,9
5592,1
6682,0
2837,1
2539,4
4389,2
2529,4
5926,0
1593,6
5029,1
1764,6
6693,0
3051,1
353,10
4096,2
6015,0
504,6
563,9
5508,1
3947,0
3391,3
6504,0
1186,7
3514,3
4705,2
5360,1
3142,
3717,3
1983,2
3013,4
2378,4
1444,5
4252,2
4313,2
4226,2
3496,3
3329,3
4212,2
3625,3
1295,2
4295,2
5758,1
4431,2
3544,3
5959,0
6057,0
3311,3
700,9
5053,1
5534,1
2293,1
2879,0
1659,6
4760,2
6071,0
4727,2
6600,0
6218,0
2115,5
6450,0
2384,4
6371,0
5428,1
1942,5
1925,5
167,19
1958,5
6143,0
589,9
1968,0
5199,1
1072,7
5523,1
2737,4
1170,7
51,13
5775,1
CHI,
2681,0
1857,5
3535,0
4309,2
6447,0
6380,0
530,9
5298,1
4816,3
KC,
1139,7
5509,1
5506,1
5474,1
5907,0
4561,2
969,8
1198,3
2431,4
5489,1
2896,1
3379,3
3015,2
3696,3
1006,9
6011,0
2056,3
6148,0
3681,3
4587,2
2504,4
2403,4
5279,1
2616,0
3134,0
4926,1
4948,1
6469,0
3870,0
6107,0
3414,0
6556,0
5317,1
1102,7
5680,1
903,8
6263,0
3175,3
534,4
5529,1
2307,4
2082,5
2831,4
5634,1
1980,5
2614,4
5291,0
3420,3
3899,3
3008,4
5013,1
4497,2
2814,0
5579,1
437,4
6273,0
5346,1
1397,1
3069,1
1402,6
5387,1
2356,4
4495,2
3989,0
1664,1
6571,0
1723,2
2666,0
2902,
922,8
6046,0
458,11
5451,1
3081,0
2794,1
3089,
4553,2
2070,5
1111,7
5399,1
680,8
4629,2
3759,0
3818,3
2604,4
2855,0
1221,3
1267,7
1280,8
205,15
6728,0
934,5
2258,5
5632,1
5851,0
6358,0
3503,3
6512,0
584,9
5594,1
995,8
1354,6
4945,0
4831,2
6341,0
5702,1
4078,2
1435,1
2680,4
4706,2
5272,1
2979,1
3857,0
4929,1
2779,4
4767,2
719,9
4740,2
4483,2
3931,3
5519,1
3713,0
1147,7
2149,5
5252,1
1156,3
1439,6
786,4
3967,0
1963,5
964,8
6403,0
1514,6
1640,6
4207,2
3548,3
1070,6
4736,2
1920,5
5422,1
3568,3
448,10
445,10
3524,0
3233,3
4971,1
644,6
679,11
1494,6
3321,3
4436,2
2972,2
2009,5
4210,2
5933,0
376,12
5811,0
4053,2
3603,3
2421,4
1260,4
1355,6
6370,0
4388,2
4488,2
3522,3
4372,2
4038,2
4292,2
5568,1
6272,0
47,7
6136,0
967,8
605,9
4367,1
1113,7
4173,2
5395,1
3675,3
6615,0
3487,3
6184,0
5577,1
4943,1
5549,1
2611,4
3319,3
5140,1
6437,0
5151,1
4068,2
4359,2
1012,0
5164,1
1301,8
5557,1
507,9
1661,6
2549,4
602,9
4109,2
5817,0
1697,6
1617,6
4040,2
2004,5
4917,1
5430,1
4792,2
688,8
2114,5
1,1
6232,0
798,8
1408,6
244,9
5983,0
6390,0
1815,5
5324,1
668,12
6326,0
BUF,
1429,6
5306,1
3371,3
735,11
1378,6
2689,5
4222,2
1129,7
2176,1
4076,2
305,14
6558,0
1157,5
5355,1
1905,5
627,9
3136,0
2015,5
611,6
2531,4
6070,0
4520,2
2524,4
3112,0
3341,3
6137,0
4928,1
5019,1
3959,0
123,10
4950,1
5322,1
5590,1
3189,3
326,11
2479,4
182,11
317,6
3231,3
1992,5
4744,1
1456,6
2922,0
2089,5
3623,3
298,12
6186,0
389,14
4651,2
6016,0
5278,1
4641,2
1328,7
2038,1
6672,0
638,5
1714,2
1537,4
1647,1
6359,0
6323,0
4484,2
2048,2
4997,1
4364,2
5555,1
60,7
3305,3
3285,3
4127,2
5828,5
3261,3
3537,3
965,8
498,11
5094,1
2110,5
1998,3
5356,0
869,8
2701,1
2329,4
1842,0
4269,2
6147,0
4478,2
1007,3
1083,7
4131,2
5296,1
3006,1
4428,2
4045,2
3236,3
396,10
3440,3
4558,2
1019,14
6005,0
3561,3
765,6
327,12
557,6
3796,3
2221,2
4326,2
6298,0
2650,4
4357,2
4841,2
4883,0
5460,1
3991,2
6636,0
4481,0
5575,0
4401,2
5615,1
6488,0
6092,0
4766,2
5406,1
2558,0
3691,3
1443,6
5269,1
5844,0
6509,0
3855,0
443,6
1852,5
2563,4
4334,2
2217,2
2496,4
465,10
2412,4
6608,0
813,8
4205,2
252,15
3738,0
230,8
2536,4
292,10
5028,1
4947,1
2811,4
4692,2
3745,3
5240,1
333,14
1242,7
1731,3
5106,1
875,8
3464,1
33,6
5552,0
2049,5
2261,5
4491,2
1231,4
5642,1
158,14
846,8
5583,1
5402,1
4106,2
2382,4
2273,5
164,9
5176,1
6081,0
1013,4
1824,1
6362,0
844,8
1527,6
6738,0
6293,0
5899,0
3774,3
5114,0
845,5
5943,0
4569,2
4103,2
276,8
5855,0
4804,2
5393,1
1535,6
840,8
6237,0
112,15
2956,4
3316,3
3313,3
6378,0
5669,1
377,7
4969,1
4264,2
4153,2
1146,7
5438,1
2031,5
5332,1
5145,1
2682,3
5558,1
5985,0
3042,1
2483,2
5941,0
6130,0
5584,1
5410,1
987,6
1876,5
2154,1
1725,5
6163,0
703,10
5131,1
961,8
4443,2
2796,4
4903,5
4370,2
1911,5
4771,7
1592,6
5786,1
MIN,
1202,7
1691,2
4818,2
366,10
6103,0
488,8
764,8
6202,0
998,8
5017,1
3303,3
2521,4
2229,5
3418,3
2095,5
5338,1
6121,0
6094,0
1599,4
4782,2
2976,1
569,9
4837,2
2868,0
4032,2
3920,1
DET,
1752,1
5043,1
4314,2
119,9
6190,0
5361,1
3397,3
1601,6
269,11
3940,0
4402,2
5010,1
1711,1
4028,2
53,14
619,9
2648,0
6049,0
2966,4
2205,5
1774,6
2685,4
3129,0
6445,0
3612,3
4410,2
4087,2
3179,3
1736,3
2373,4
1342,6
363,6
197,7
3834,3
4380,2
1570,6
369,6
402,6
3591,0
5556,1
4847,2
4248,2
5699,1
716,5
999,6
4885,0
5479,1
1319,1
5753,1
1262,7
6568,0
6474,0
5681,1
4756,0
2219,5
6364,0
6164,0
3541,0
551,7
1165,4
6002,0
1240,4
3754,0
5482,1
4789,2
2264,5
2569,0
2139,1
5282,0
5878,0
1089,4
5564,1
4977,1
682,10
460,10
2442,4
4590,2
3734,3
1996,5
5493,1
3177,3
4460,2
1533,6
5404,1
4273,2
733,7
3054,4
2760,1
5420,1
4442,2
2104,5
234,7
1619,6
5488,1
3128,0
810,8
1798,5
6325,0
4419,2
1884,5
2456,4
4421,2
3981,0
245,8
5339,1
6290,0
4463,2
726,11
3825,1
5686,1
5852,0
4180,2
1657,6
3029,
3208,3
6006,0
2506,0
5154,1
415,6
3515,3
4169,2
2739,0
857,8
5738,1
3554,0
1251,3
5220,1
1694,6
2993,4
4668,2
3922,0
5707,0
1297,1
3019,0
4108,2
4880,0
2063,5
6712,0
3151,1
1611,1
1924,5
541,6
4513,2
2602,4
2790,0
3163,3
1400,6
349,7
331,15
2481,4
3628,3
3674,0
6733,0
3505,3
2787,0
5588,1
3943,0
2514,2
6591,0
540,9
1822,5
4191,2
2615,2
3407,3
5812,0
285,12
3516,3
1453,6
4057,2
5136,1
3180,3
3457,3
3100,1
5550,1
4739,2
2182,5
3819,3
5783,1
6702,0
3310,3
5226,1
2302,2
2259,5
279,13
604,6
5739,1
5374,1
6599,0
3255,3
6471,0
70,12
2380,4
86,9
2276,5
1552,6
6256,0
1234,7
1650,1
2912,1
1195,7
3914,1
6619,0
759,9
3982,0
356,10
3679,0
241,6
3684,0
3252,3
5135,1
3086,0
